Field,ID,Type (種類),default,en,ja,fr,de,zh-cn,zh-tw,ko,ru,it,es,pt,hi,ar,id,th,vi,tr,uk,en-us,nl,sv,pl
StoreLogoOverride71x71,605,相対パス (またはパートナー センターにあるファイルへの URL),,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493121/listingassets/3033435884591643721,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493123/listingassets/3001769365886098365,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493125/listingassets/3009328199293970449,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493127/listingassets/3000351135581810269,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493129/listingassets/3031771762188723465,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493131/listingassets/3053414767943758091,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493133/listingassets/3029278084665201084,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493135/listingassets/3070435855507748419,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493137/listingassets/3015906507716506161,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493139/listingassets/3029830309921526676,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493141/listingassets/3000492267290444185,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493143/listingassets/3055634899440015251,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493145/listingassets/3048900235052882379,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493147/listingassets/3015006190158356999,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493569/listingassets/3050037411878236211,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493567/listingassets/3010516523057937303,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493541/listingassets/3066860889067771361,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700021493543/listingassets/3067417390801971852,https://developer.microsoft.com/en-us/dashboard/apps/9N8WHWKDDSKK/submissions/1152921505701229362/listings/1152922700024762023/listingassets/3009827084245245524,,,
PromoImage1920x1080,606,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
PromoImage2400x1200,607,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxBrandedKeyArt584x800,608,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxTitledHero1920x1080,609,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
XboxFeaturedPromo1080x1080,610,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
OptionalPromo358x358,611,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
OptionalPromo1000x800,612,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
OptionalPromo414x180,613,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Feature1,700,テキスト,,,,,,,,,,,,,,,,,,,,Complete rebuild in C# for blazing fast performance and stability. Now supports 18 languages globally. Introduction of MyQuickPaste Pro features with expanded slots.,Volledig herbouwd in C# voor razendsnelle prestaties en stabiliteit. Ondersteunt nu wereldwijd 18 talen. Introductie van MyQuickPaste Pro-functies met uitgebreide slots.,Helt omskriven i C# för blixtsnabb prestanda och stabilitet. Stöder nu 18 språk globalt. Introduktion av MyQuickPaste Pro-funktioner med fler platser.,Całkowita przebudowa w C# zapewniająca błyskawiczną wydajność i stabilność. Obsługuje teraz 18 języków na całym świecie. Wprowadzenie funkcji MyQuickPaste Pro z rozszerzoną liczbą slotów.
Feature2,701,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature3,702,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature4,703,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature5,704,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature6,705,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature7,706,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature8,707,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature9,708,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature10,709,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature11,710,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature12,711,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature13,712,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature14,713,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature15,714,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature16,715,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature17,716,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature18,717,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature19,718,テキスト,,,,,,,,,,,,,,,,,,,,,,,
Feature20,719,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq1,800,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq2,801,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq3,802,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq4,803,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq5,804,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq6,805,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq7,806,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq8,807,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq9,808,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq10,809,テキスト,,,,,,,,,,,,,,,,,,,,,,,
MinimumHardwareReq11,810,テキスト,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq1,850,テキスト,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq2,851,テキスト,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq3,852,テキスト,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq4,853,テキスト,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq5,854,テキスト,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq6,855,テキスト,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq7,856,テキスト,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq8,857,テキスト,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq9,858,テキスト,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq10,859,テキスト,,,,,,,,,,,,,,,,,,,,,,,
RecommendedHardwareReq11,860,テキスト,,,,,,,,,,,,,,,,,,,,,,,
SearchTerm1,900,テキスト,,clipboard manager,クリップボード,presse-papiers,Zwischenablage,剪贴板,剪貼簿,클립보드,буфер обмена,appunti,portapapeles,área de transferência,क्लिपबोर्ड,الحافظة,clipboard,คลิปบอร์ด,khay nhớ tạm,pano,буфер обмена,Clipboard Manager,Klembordbeheer,Urklippshanterare,Menedżer schowka
SearchTerm2,901,テキスト,,text snippet,定型文,extrait de texte,Textbaustein,文本片段,文字片段,상용구,фрагмент текста,snippet di testo,fragmento de texto,trecho de texto,टेक्स्ट स्निपेट,مقتطفات نصية,cuplikan teks,ข้อความสั้น,đoạn văn bản,metin parçacığı,фрагмент тексту,AI Prompt Manager,AI-promptbeheer,AI-prompthanterare,Menedżer promptów AI
SearchTerm3,902,テキスト,,copy paste tool,貼り付け,outil copier coller,Kopieren Einfügen,复制粘贴,複製貼上,복사 붙여넣기,копировать вставить,copia incolla,copiar pegar,copiar colar,कॉपी पेस्ट,نسخ لصق,salin tempel,คัดลอกวาง,sao chép dán,kopyala yapıştır,копіювати вставити,Text Snippets,Tekstfragmenten,Textsnippets,Fragmenty tekstu
SearchTerm4,903,テキスト,,productivity,コピー＆ペースト,productivité,Produktivität,工作效率,工作效率,생산성,продуктивность,produttività,productividad,produtividade,उत्पादकता,إنتاجية,produktivitas,เพิ่มประสิทธิภาพ,năng suất,verimlilik,продуктивність,Copy and Paste,Kopiëren en plakken,Kopiera och klistra in,Kopiuj i wklej
SearchTerm5,904,テキスト,,text expander,コピー履歴,text expander,Text Expander,文本扩展,文字擴展,텍스트 확장,расширитель текста,espansione testo,expansor de texto,expansor de texto,टेक्स्ट एक्सपैंडर,توسيع النص,pengembang teks,ขยายข้อความ,mở rộng văn bản,metin genişletici,розширювач тексту,Productivity Tool,Productiviteitstool,Produktivitetsverktyg,Narzędzie produktywności
SearchTerm6,905,テキスト,,automation,マイクイックペースト,automatisation,Automatisierung,自动输入,自動輸入,자동화,автоматизация,automazione,automatización,automatização,स्वचालन,أتمتة,otomatisasi,อัตโนมัติ,tự động hóa,otomasyon,автоматизація,Workflow Efficiency,Workflow efficiëntie,Arbetseffektivitet,Efektywność pracy
SearchTerm7,906,テキスト,,MyQuickPaste,MQP,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,MyQuickPaste,,,,
TrailerToPlayAtTopOfListing,999,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer1,1000,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer2,1001,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer3,1002,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer4,1003,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer5,1004,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer6,1005,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer7,1006,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer8,1007,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer9,1008,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer10,1009,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer11,1010,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer12,1011,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer13,1012,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer14,1013,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
Trailer15,1014,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle1,1020,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle2,1021,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle3,1022,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle4,1023,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle5,1024,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle6,1025,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle7,1026,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle8,1027,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle9,1028,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle10,1029,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle11,1030,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle12,1031,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle13,1032,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle14,1033,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerTitle15,1034,テキスト,,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail1,1040,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail2,1041,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail3,1042,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail4,1043,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail5,1044,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail6,1045,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail7,1046,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail8,1047,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail9,1048,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail10,1049,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail11,1050,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail12,1051,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail13,1052,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail14,1053,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerThumbnail15,1054,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption1,1055,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption2,1056,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption3,1057,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption4,1058,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption5,1059,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption6,1060,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption7,1061,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption8,1062,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption9,1063,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption10,1064,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption11,1065,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption12,1066,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption13,1067,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption14,1068,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerClosedCaption15,1069,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription1,1070,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription2,1071,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription3,1072,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription4,1073,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription5,1074,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription6,1075,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription7,1076,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription8,1077,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription9,1078,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription10,1079,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription11,1080,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription12,1081,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription13,1082,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription14,1083,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
TrailerAudioDescription15,1084,相対パス (またはパートナー センターにあるファイルへの URL),,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
